Provider,Policy URL,Industry,Source,Date,Status,Score,GDPR Score,Graph Kind,Pipeline Status,Pipeline Errors
MetLife,https://www.metlife.com/about-us/privacy-policy/us-consumer/,Financials,webpage,2025-09-05,True,83.3,87.8,standard,succeeded,[]
MetLife,./output/data/Metlife.pdf,Financials,pdf,2025-10-30,True,83.3,87.8,standard,succeeded,[]
Microchip Technology,https://www.microchip.com/en-us/about/legal-information/privacy-notice,Information Technology,pdf,2025-09-05,False,,,none,pending,[]
Microchip Technology,https://www.microchip.com/en-us/about/legal-information/privacy-notice,Information Technology,webpage,2025-09-05,False,,,none,pending,[]
Microchip Technology,./output/data/Microchip.pdf,Information Technology,pdf,2025-10-30,True,70.8,90.3,standard,succeeded,[]
Micron Technology,https://assets.micron.com/adobe/assets/urn:aaid:aem:4bfdaf4e-099d-46a2-ace1-854cd58fd299/renditions/original/as/micronprivacynotice-en-us.pdf,Information Technology,pdf,2025-09-05,True,70.8,81.6,standard,succeeded,[]
Micron Technology,https://assets.micron.com/adobe/assets/urn:aaid:aem:4bfdaf4e-099d-46a2-ace1-854cd58fd299/renditions/original/as/micronprivacynotice-en-us.pdf,Information Technology,webpage,2025-09-05,False,,,none,pending,[]
Micron Technology,./output/data/Micron.pdf,Information Technology,pdf,2025-10-30,True,70.8,81.6,standard,succeeded,[]
Microsoft,https://www.microsoft.com/en-us/privacy/privacystatement,Information Technology,pdf,2025-09-05,True,66.7,85.2,standard,succeeded,[]
Microsoft,https://www.microsoft.com/en-us/privacy/privacystatement,Information Technology,webpage,2025-09-05,True,95.8,79.3,standard,succeeded,[]
Microsoft,./output/data/Microsoft.pdf,Information Technology,pdf,2025-10-10,True,66.7,84.5,standard,succeeded,[]
Moderna,https://www.modernatx.com/privacy-policy,Healthcare,pdf,2025-09-05,True,87.5,76.5,standard,succeeded,[]
Moderna,https://www.modernatx.com/privacy-policy,Healthcare,webpage,2025-09-05,True,87.5,79.3,standard,succeeded,[]
Moderna,./output/data/Moderna.pdf,Healthcare,pdf,2025-10-30,True,87.5,78.1,standard,succeeded,[]
Molina Healthcare,https://www.molinahealthcare.com/members/common/en-US/terms_privacy.aspx,Healthcare,pdf,2025-09-05,False,,,none,pending,[]
Molina Healthcare,https://www.molinahealthcare.com/members/common/en-US/terms_privacy.aspx,Healthcare,webpage,2025-09-05,True,79.2,76.6,standard,succeeded,[]
Molina Healthcare,./output/data/MolinaHealthcare.pdf,Healthcare,pdf,2025-10-30,True,79.2,88.3,standard,succeeded,[]
Monolithic Power Systems,https://www.monolithicpower.com/en/privacy-policy/,Information Technology,pdf,2025-09-05,True,66.7,82.6,standard,succeeded,[]
Monolithic Power Systems,https://www.monolithicpower.com/en/privacy-policy/,Information Technology,webpage,2025-09-05,True,70.8,83.0,standard,succeeded,[]
Monolithic Power Systems,./output/data/MonolithicPower.pdf,Information Technology,pdf,2025-10-30,True,66.7,82.6,standard,succeeded,[]
Moody's Corporation,https://www.moodys.com/web/en/us/legal/privacy-policy.html,Financials,pdf,2025-09-05,True,83.3,83.7,standard,succeeded,[]
Moody's Corporation,https://www.moodys.com/web/en/us/legal/privacy-policy.html,Financials,webpage,2025-09-05,True,83.3,83.2,standard,succeeded,[]
Moody's Corporation,./output/data/Moodys.pdf,Financials,pdf,2025-10-30,True,83.3,83.3,standard,succeeded,[]
Morgan Stanley,https://www.morganstanley.com/disclaimers/us-privacy-policy-and-notice,Financials,pdf,2025-09-05,False,,,none,pending,[]
Morgan Stanley,https://www.morganstanley.com/disclaimers/us-privacy-policy-and-notice,Financials,webpage,2025-09-05,True,83.3,86.1,standard,succeeded,[]
Morgan Stanley,./output/data/MorganStanley.pdf,Financials,pdf,2025-10-30,True,83.3,85.5,standard,succeeded,[]
Motorola Solutions,https://www.motorolasolutions.com/en_us/about/privacy-policy.html,Information Technology,pdf,2025-09-05,False,,,none,pending,[]
Motorola Solutions,https://www.motorolasolutions.com/en_us/about/privacy-policy.html,Information Technology,webpage,2025-09-05,True,87.5,79.6,standard,succeeded,[]
Motorola Solutions,./output/data/MotorolaSolutions.pdf,Information Technology,pdf,2025-10-30,True,79.2,81.0,standard,succeeded,[]
NXP Semiconductors,https://www.nxp.com/company/about-nxp/nxp-privacy-notice:PRIVACYPRACTICES,Information Technology,pdf,2025-09-05,False,,,none,pending,[]
NXP Semiconductors,https://www.nxp.com/company/about-nxp/nxp-privacy-notice:PRIVACYPRACTICES,Information Technology,webpage,2025-09-05,True,75.0,99.6,standard,succeeded,[]
